"lat","lon","road_sign_record_id"
"42.783791","23.167511",7905481
"42.793827","23.1735",7905572
"42.7859032412052","23.168493739599544",7910557
"42.80989732058989","23.120399485011657",7910813
"42.82644341132764","23.09891005829836",7911042
"42.816335731329126","23.10931426819634",7945101
"42.7784462973312","23.176095113600027",7945348
"42.77617016663204","23.18082740022847",7945375
"42.753952","23.213512",7988522
"42.832027884593096","23.093522312376237",7989595
"42.825123","23.100086",7989646
"42.81400582695179","23.11290001174762",7989786
"42.81241298755836","23.1157472448828",7989801
"42.811314420465045","23.117675825239417",7989820
"42.78933920568791","23.155476291509885",7990027
"42.782692","23.168688",7990112
"42.775677609968085","23.182125904252135",7990223
"42.77470360799723","23.18539190874123",7990255
"42.7752272669258","23.18367720685411",8011351
"42.777134","23.178835",8011377
"42.78340649517126","23.167495707794146",8011435
